2017,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Jan,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,55,46,37,36,29,22,76,50,25,30.38,30.21,29.99,10,10,10,13,5,-,0.04,
2,45,43,41,44,42,34,100,94,52,30.4,30.32,30.18,10,4,1,12,7,-,0.24,Rain
3,46,44,43,46,44,42,100,97,85,30.15,29.81,29.56,10,4,1,10,7,-,0.79,Rain
4,57,47,36,49,39,9,100,82,13,29.91,29.62,29.54,10,4,0,16,8,30,0,Fog
5,37,34,30,28,17,9,75,47,23,30.07,29.98,29.92,10,10,5,12,7,-,0,Snow
6,34,31,28,30,17,8,82,53,28,30.3,30.12,29.92,10,10,9,16,12,22,0,Snow
7,27,23,19,18,11,4,84,63,42,30.36,30.28,30.22,10,7,1,23,15,30,0.01,Snow
8,25,20,15,3,0,-3,54,43,32,30.76,30.55,30.36,10,10,10,29,14,38,0,
9,29,23,16,9,4,-1,54,44,34,30.8,30.72,30.64,10,10,10,17,9,22,0,
10,41,32,22,25,15,8,60,49,38,30.61,30.47,30.21,10,10,10,28,12,33,0,
11,57,46,35,49,38,33,92,72,51,30.37,30.27,30.2,10,10,7,23,9,28,0.07,Rain
12,72,62,51,53,51,49,96,73,49,30.2,30.13,30.05,10,10,10,30,19,37,0.02,
13,65,54,43,52,35,22,83,61,38,30.69,30.47,30.2,10,10,10,23,13,28,T,
14,43,39,34,35,31,24,100,73,45,30.69,30.53,30.35,10,8,2,13,5,15,0.29,Rain
15,49,43,36,35,29,17,92,61,29,30.44,30.38,30.32,10,9,5,14,6,18,0,
16,46,42,38,38,31,26,70,60,49,30.49,30.41,30.31,10,10,9,13,6,14,0.01,Rain
17,53,47,41,52,45,39,100,93,86,30.28,30.05,29.89,10,6,0,14,5,17,0.21,"Fog , Rain"
18,60,52,44,47,43,36,100,74,47,30.1,29.94,29.88,10,5,0,25,11,31,0,Fog
19,53,47,40,39,37,36,93,76,59,30.12,30.07,30.03,10,10,10,13,6,16,0,
20,49,44,39,47,43,37,100,88,76,30.02,29.94,29.87,10,8,3,12,4,14,0.01,Rain
21,50,49,47,49,48,46,100,97,93,29.94,29.86,29.77,10,6,1,9,5,12,T,Rain
22,52,49,46,51,48,46,100,97,93,29.76,29.67,29.6,10,5,0,16,9,18,0.15,"Fog , Rain"
23,50,45,39,49,42,37,100,93,86,29.61,29.49,29.4,10,4,1,37,22,47,0.67,Rain
24,49,44,38,38,37,35,92,77,61,29.67,29.54,29.47,10,10,5,30,15,37,0.03,Rain
25,61,53,45,40,36,33,71,54,36,29.8,29.71,29.57,10,10,10,21,6,33,0,
26,61,52,43,44,34,23,82,57,32,29.81,29.59,29.47,10,10,10,32,12,45,T,Rain
27,45,42,38,26,19,14,53,42,30,29.87,29.83,29.78,10,10,10,26,14,34,0,
28,49,41,33,26,20,17,64,48,31,29.83,29.79,29.73,10,10,10,17,8,24,0,
29,47,41,35,31,25,20,70,54,37,29.83,29.77,29.73,10,10,10,16,7,20,T,
30,39,35,30,32,24,11,92,62,32,30.07,29.88,29.74,10,7,0,26,10,33,0.07,"Fog , Snow"
31,56,42,28,35,23,16,79,54,28,30.07,29.87,29.71,10,10,9,20,9,28,T,Snow
2017,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Feb,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,51,43,34,36,31,27,92,66,39,30.09,30.01,29.93,10,10,10,14,5,17,0,
2,50,43,36,34,25,13,70,51,31,30.26,30.16,30.09,10,10,10,23,8,28,0,
3,40,35,30,13,11,9,41,36,30,30.36,30.26,30.18,10,10,10,26,11,35,0,
4,41,33,24,16,8,1,50,35,20,30.54,30.42,30.29,10,10,10,24,10,30,0,
5,54,43,32,32,21,12,70,50,29,30.27,30.06,29.92,10,10,10,17,10,23,0,
6,61,47,33,38,34,29,92,66,40,30.18,30.09,29.98,10,10,10,14,8,16,0,
7,73,61,48,54,45,38,72,66,59,29.96,29.77,29.6,10,10,10,22,13,32,T,Rain
8,74,63,51,54,47,41,89,64,38,29.69,29.64,29.59,10,10,10,18,10,23,T,Rain
9,53,39,25,45,26,5,89,63,36,30.26,29.79,29.48,10,9,4,36,21,49,0.12,"Rain , Snow , Thunderstorm"
10,39,31,23,14,8,4,50,39,27,30.44,30.3,30.05,10,10,10,23,12,32,0,
11,53,44,34,37,28,15,71,54,37,30.02,29.98,29.92,10,10,10,14,5,17,0,
12,55,50,45,47,40,30,86,64,41,30,29.83,29.68,10,10,7,52,9,65,0.03,Rain
13,47,41,35,24,19,13,56,42,27,30.11,30.02,29.88,10,10,10,37,19,49,0,
14,46,38,30,35,27,20,75,60,45,30.08,29.93,29.72,10,10,10,22,7,27,T,Rain
15,55,46,37,38,26,16,79,57,34,29.7,29.59,29.46,10,10,10,33,11,45,0,
16,42,37,32,23,16,13,61,47,33,29.96,29.81,29.66,10,10,3,30,13,36,T,Snow
17,51,40,28,29,20,15,64,48,31,29.99,29.94,29.88,10,10,10,10,4,13,0,
18,68,51,33,38,32,28,82,57,31,29.93,29.84,29.75,10,10,10,16,7,20,0,
19,71,60,49,47,43,37,86,60,33,30.06,29.91,29.79,10,10,10,18,9,25,0.01,Rain
20,68,56,43,44,37,29,92,58,24,30.32,30.2,30.07,10,10,10,20,7,24,0,
21,58,50,41,39,31,22,71,53,35,30.37,30.26,30.12,10,10,10,15,7,18,0,
22,63,55,46,52,45,39,93,78,62,30.11,29.99,29.91,10,10,10,16,7,18,T,Rain
23,75,64,53,55,53,52,100,75,49,29.91,29.88,29.81,10,10,10,17,10,23,0,
24,77,66,54,59,55,52,100,73,46,29.94,29.87,29.79,10,10,10,20,11,24,0,
25,75,60,44,60,50,22,93,66,38,29.86,29.63,29.43,10,9,2,32,15,46,0.18,"Rain , Thunderstorm"
26,50,43,35,26,19,16,48,39,29,30.33,30.13,29.9,10,10,10,23,11,30,0,
27,55,46,36,37,31,23,85,57,29,30.45,30.39,30.33,10,10,10,15,6,21,0,
28,68,58,47,57,46,34,100,75,50,30.36,30.21,30.02,10,9,6,12,5,13,0.34,Rain
2017,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Mar,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,80,68,56,62,57,51,100,75,50,29.99,29.73,29.59,10,8,2,39,17,54,0.02,Rain
2,63,52,40,55,24,17,78,54,29,30.23,29.97,29.62,10,10,10,36,18,49,0.01,Rain
3,44,38,31,29,19,6,82,52,22,30.56,30.36,30.21,10,10,6,29,15,40,T,Snow
4,44,35,26,13,9,6,55,39,22,30.63,30.59,30.53,10,10,10,24,12,31,0,
5,40,32,23,12,2,-4,42,30,17,30.76,30.65,30.54,10,10,10,17,8,23,0,
6,54,44,33,39,28,11,69,54,38,30.54,30.46,30.35,10,10,10,13,6,15,T,
7,71,59,47,55,47,39,93,70,47,30.33,30.2,30.01,10,10,10,28,10,35,0.07,Rain
8,68,59,50,53,29,14,80,48,15,30.16,30.07,29.95,10,10,10,33,13,44,0.01,Rain
9,74,61,47,36,24,18,40,27,13,30.15,30.04,29.88,10,10,10,22,9,32,0,
10,57,44,31,37,26,10,65,50,35,30.18,29.94,29.83,10,9,4,30,16,38,0.09,"Rain , Snow"
11,40,33,26,13,8,3,50,36,22,30.36,30.28,30.19,10,10,10,25,15,36,0,
12,43,35,27,12,9,6,43,35,27,30.47,30.39,30.33,10,10,10,21,11,24,0,
13,46,37,28,32,23,9,96,64,24,30.51,30.32,30.11,10,7,1,17,10,22,0.47,"Fog , Rain , Snow"
14,39,33,26,31,27,10,76,61,46,30.06,29.73,29.53,10,6,2,32,21,44,0.89,"Fog , Rain , Snow"
15,33,28,22,12,8,5,52,42,32,30.12,29.92,29.84,10,10,10,35,18,47,0,
16,42,33,24,17,13,5,55,44,33,30.26,30.18,30.14,10,10,10,25,11,36,0,
17,52,41,29,36,22,15,70,47,24,30.4,30.31,30.22,10,10,10,24,6,32,0.01,Rain
18,59,50,40,43,40,35,92,73,53,30.22,30.07,29.95,10,9,4,20,7,23,0.37,Rain
19,54,45,36,41,35,31,92,71,50,30.27,30.18,30.07,10,9,6,22,14,25,0.26,"Rain , Snow"
20,54,46,37,36,31,26,76,57,38,30.24,30.15,30.03,10,10,10,15,7,18,0,
21,63,55,46,43,38,31,76,61,46,30.03,29.97,29.93,10,10,10,16,7,19,T,Rain
22,59,48,37,39,18,4,51,34,16,30.49,30.22,29.93,10,10,10,31,17,39,0,
23,48,39,30,21,9,3,52,35,17,30.68,30.58,30.5,10,10,10,16,8,19,0,
24,62,49,36,48,34,22,76,58,39,30.53,30.36,30.17,10,10,4,23,13,30,0.13,Rain
25,78,66,54,55,50,47,77,58,39,30.21,30.17,30.14,10,10,10,22,9,24,0,
26,56,52,47,47,45,43,100,84,67,30.35,30.28,30.22,10,9,4,20,12,23,T,Rain
27,76,61,46,58,51,46,100,79,57,30.19,30.05,29.91,10,6,0,14,5,16,0.01,"Fog , Rain"
28,74,66,57,61,57,54,93,73,53,29.96,29.87,29.82,10,10,10,22,8,27,0.02,Rain
29,67,60,52,57,45,33,87,60,32,30.2,30.08,29.98,10,10,10,20,11,24,T,
30,55,51,46,40,34,30,71,58,45,30.27,30.18,30.05,10,10,10,15,9,20,0,
31,54,50,45,50,46,39,100,86,71,30.04,29.78,29.64,10,7,2,17,9,22,0.96,Rain
2017,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Apr,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,61,54,46,46,43,37,93,72,51,30.14,29.88,29.68,10,10,5,26,14,36,0.01,Rain
2,66,55,43,45,35,30,66,48,30,30.26,30.18,30.13,10,10,10,17,8,23,0,
3,68,58,48,58,47,38,90,65,40,30.15,29.95,29.68,10,10,3,18,11,23,0.11,Rain
4,82,71,60,61,55,42,100,64,28,29.77,29.62,29.57,10,10,10,23,13,31,T,
5,74,67,59,49,46,41,62,50,38,29.95,29.86,29.78,10,10,10,21,8,26,0,
6,61,56,51,59,53,35,93,72,50,29.77,29.42,29.25,10,6,1,35,10,50,1.57,"Rain , Thunderstorm"
7,51,47,42,35,29,26,65,54,42,29.9,29.62,29.43,10,10,10,30,17,40,T,Rain
8,65,52,39,31,21,17,54,35,16,30.07,29.98,29.91,10,10,10,23,10,33,0,
9,72,57,42,42,37,31,66,47,27,30.23,30.16,30.09,10,10,10,15,7,18,0,
10,82,66,50,50,45,40,71,47,22,30.23,30.16,30.1,10,10,10,18,10,24,0,
11,84,72,59,55,52,48,72,51,29,30.19,30.13,30.07,10,10,10,14,10,17,0,
12,79,71,62,56,49,32,73,49,25,30.3,30.2,30.11,10,10,10,17,9,23,T,Rain
13,71,63,54,40,36,29,51,37,22,30.42,30.35,30.31,10,10,2,16,6,22,0,
14,73,64,54,46,41,36,66,49,31,30.39,30.35,30.3,10,10,10,14,5,17,0,
15,77,66,55,62,53,45,81,68,54,30.38,30.25,30.12,10,10,10,14,6,17,0,
16,89,77,65,61,56,50,81,55,28,30.11,30.01,29.91,10,10,10,32,12,38,T,
17,74,67,60,61,56,49,87,66,44,30.14,30.03,29.94,10,10,5,20,7,23,0.07,Rain
18,72,63,54,55,43,40,84,58,31,30.42,30.31,30.17,10,10,10,20,9,25,0,
19,63,58,53,54,49,43,83,72,60,30.46,30.36,30.2,10,10,10,16,9,19,T,Rain
20,82,70,57,66,59,54,93,72,51,30.2,30.05,29.92,10,10,3,22,8,27,0.11,"Rain , Thunderstorm"
21,81,73,64,69,65,62,100,85,69,29.94,29.86,29.78,10,9,5,21,5,26,0.12,"Rain , Thunderstorm"
22,64,58,51,61,56,49,97,92,86,30.05,29.94,29.85,10,7,2,17,10,21,0.31,"Rain , Thunderstorm"
23,61,55,49,49,44,40,89,70,51,30.17,30.11,30.05,10,10,10,16,8,21,0,
24,57,55,53,52,48,44,93,80,67,30.1,30.05,29.99,10,9,2,21,12,24,0.23,Rain
25,61,57,53,59,56,50,100,95,90,29.98,29.82,29.73,10,6,2,26,15,34,0.08,Rain
26,72,65,58,60,58,57,93,80,66,29.85,29.76,29.7,10,9,5,13,7,19,0.01,Rain
27,83,71,58,66,61,58,97,76,54,29.87,29.82,29.75,10,10,7,17,8,24,T,
28,84,75,65,68,62,58,90,65,40,30.04,29.97,29.84,10,10,10,15,8,18,T,"Rain , Thunderstorm"
29,91,81,70,72,68,63,97,69,41,30.12,30.05,29.99,10,10,10,18,9,23,0,Thunderstorm
30,88,77,66,72,69,64,93,72,51,30.13,30.06,29.99,10,10,5,22,9,29,0,
2017,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
May,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,84,74,64,68,65,62,93,74,55,30.03,29.85,29.64,10,10,8,31,14,39,T,Rain
2,80,72,63,67,51,34,84,53,21,29.84,29.7,29.62,10,10,10,29,14,35,0,
3,67,62,56,42,38,35,51,43,34,30.19,30.03,29.84,10,10,10,26,12,35,0,
4,67,60,53,54,46,40,93,69,45,30.23,30.11,29.93,10,10,6,22,12,28,0.13,Rain
5,76,67,58,68,63,55,100,87,73,29.89,29.53,29.37,10,8,1,24,12,31,1.75,"Rain , Thunderstorm"
6,65,58,50,64,51,45,93,83,72,29.61,29.45,29.34,10,9,2,22,11,30,0.07,Rain
7,65,56,46,43,38,33,82,58,34,29.89,29.76,29.63,10,10,10,26,12,32,T,
8,65,56,47,39,30,26,65,45,25,30.02,29.96,29.9,10,10,10,22,9,30,0,
9,67,57,46,40,33,24,71,47,22,30.05,30,29.94,10,10,10,15,7,20,0,
10,76,63,50,50,43,38,83,54,25,30.03,29.98,29.94,10,10,10,17,5,19,0,
11,63,58,52,56,52,45,100,76,52,30.01,29.94,29.9,10,6,2,17,9,22,1.04,"Rain , Thunderstorm"
12,59,55,50,51,48,47,93,83,72,30.03,30.01,29.96,10,10,5,14,9,17,0.31,Rain
13,61,56,50,52,49,48,96,82,67,29.94,29.84,29.8,10,8,4,20,12,25,0.51,Rain
14,82,65,47,56,46,31,100,61,21,29.84,29.76,29.67,10,10,10,30,12,40,T,
15,77,66,54,43,37,24,51,37,23,30.01,29.92,29.84,10,10,10,26,13,31,0,
16,79,67,55,55,51,45,72,56,39,30.11,30.05,30.01,10,10,10,15,7,17,0,
17,91,77,62,66,62,56,78,61,44,30.06,30,29.95,10,10,10,15,9,17,0,
18,88,79,70,71,66,61,90,70,50,30.04,29.97,29.9,10,10,10,28,11,37,0.03,"Rain , Thunderstorm"
19,93,82,70,71,68,65,97,69,41,30.01,29.96,29.91,10,10,10,23,10,27,0,Thunderstorm
20,73,67,61,69,60,41,93,70,46,30.32,30.17,30,10,10,10,18,10,23,0,
21,69,64,59,52,48,41,65,58,51,30.34,30.27,30.19,10,10,10,14,7,16,T,
22,72,65,58,65,60,53,97,85,72,30.18,30.06,29.96,10,9,2,9,4,10,0.34,Rain
23,67,64,60,65,59,55,100,87,73,29.97,29.89,29.75,10,9,5,14,7,18,0.06,Rain
24,66,62,58,59,57,54,93,86,78,29.76,29.73,29.68,10,10,4,21,9,25,0.26,Rain
25,75,67,58,63,59,57,100,82,64,29.69,29.52,29.44,10,7,1,29,10,36,0.75,"Rain , Thunderstorm"
26,78,68,58,59,56,53,100,73,46,29.91,29.75,29.57,10,10,10,24,10,37,0,
27,74,68,61,65,60,56,93,75,57,29.94,29.91,29.88,10,10,9,10,4,11,0.03,Rain
28,74,68,62,66,64,60,100,82,64,29.9,29.86,29.83,10,10,3,13,7,16,0.08,Rain
29,85,75,64,68,63,52,100,66,32,30.03,29.89,29.81,10,8,2,20,6,22,T,"Rain , Thunderstorm"
30,72,68,63,66,64,61,100,92,84,30.1,30.05,30,10,9,4,16,8,20,0.17,"Rain , Thunderstorm"
31,80,73,65,68,65,62,100,79,58,30.05,30.01,29.95,10,9,4,23,6,29,0.02,"Rain , Thunderstorm"
2017,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Jun,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,85,74,63,63,54,45,100,63,26,30.04,29.99,29.95,10,10,10,21,7,27,0,
2,83,72,61,60,50,40,73,49,25,30.04,30.01,29.98,10,10,10,23,8,29,0,
3,86,74,61,58,52,43,67,46,24,30.04,30.01,29.97,10,10,10,23,9,27,0,
4,87,75,62,68,62,57,90,66,42,30.04,29.93,29.8,10,10,10,17,9,22,0,
5,77,73,69,69,67,64,97,83,69,29.8,29.74,29.67,10,10,10,17,7,21,T,Rain
6,79,72,64,67,56,49,93,66,38,29.84,29.75,29.67,10,10,8,23,11,29,0,Rain
7,69,64,59,60,57,52,93,76,58,30.06,29.96,29.86,10,10,10,17,9,22,0,
8,76,66,56,54,51,47,86,62,38,30.05,29.94,29.83,10,10,10,14,7,18,0,
9,84,72,59,59,53,49,78,55,31,29.97,29.86,29.8,10,10,10,17,8,23,0,
10,87,76,65,68,61,57,81,59,37,30.08,30.03,29.98,10,10,10,17,8,20,0,
11,93,82,71,71,65,60,84,60,36,30.16,30.09,30.06,10,10,10,16,8,23,0,
12,95,85,74,73,67,61,87,59,31,30.13,30.06,30,10,10,10,16,6,20,0,
13,95,85,75,75,71,67,87,64,41,30.02,29.96,29.89,10,10,10,21,8,24,0,
14,91,83,74,75,69,65,85,69,52,30,29.95,29.9,10,10,10,20,9,23,0,Thunderstorm
15,85,79,72,68,64,57,79,60,40,30.01,29.97,29.91,10,10,10,15,8,24,0,
16,84,77,70,73,69,65,90,76,61,29.94,29.9,29.86,10,9,2,13,5,15,0.36,"Rain , Thunderstorm"
17,89,82,74,74,72,71,94,77,59,29.93,29.89,29.85,10,10,10,17,10,22,T,
18,92,84,76,75,74,72,94,73,52,29.89,29.85,29.77,10,10,10,21,15,31,0,
19,89,81,72,74,72,69,94,77,59,29.92,29.85,29.81,10,9,0,40,15,52,0.53,"Rain , Thunderstorm"
20,88,79,70,70,65,56,100,67,34,30.01,29.97,29.91,10,10,10,24,9,29,T,
21,90,81,71,72,67,58,84,59,34,30,29.97,29.94,10,10,10,16,9,23,0,
22,88,82,76,77,72,67,91,71,50,30.02,29.98,29.94,10,10,10,14,7,18,0,
23,89,81,73,77,73,70,91,77,63,29.94,29.82,29.69,10,9,2,25,14,33,0.1,Rain
24,89,82,74,75,65,57,87,62,36,29.97,29.79,29.58,10,9,4,29,12,38,0.07,Rain
25,88,80,72,65,55,45,73,50,27,30.04,30.01,29.97,10,10,10,21,9,27,0,
26,84,76,68,63,49,40,64,45,25,30.1,30.05,29.99,10,10,10,20,10,24,0,
27,82,74,66,55,50,45,55,42,28,30.1,30.02,29.98,10,10,10,18,9,23,0.07,Rain
28,83,72,61,59,51,43,67,48,28,30.21,30.16,30.1,10,10,10,16,8,21,0,
29,91,79,66,68,62,58,81,61,41,30.17,30.11,30.04,10,10,10,21,13,26,0,Rain
30,94,84,73,71,66,62,74,58,41,30.07,30.02,29.95,10,10,10,29,13,37,0,
